stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13
0,0,1,537.3,1,1,0,80,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,792.2,1,2,1,80,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,757.2,1,3,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,362.2,1,4,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,825.2,1,5,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,526.2,0,6,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,653.2,1,7,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,358.3,1,8,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,523.1,1,9,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,816,1,10,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,765.1,1,11,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,724,1,12,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,673.3,0,13,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,622.1,1,14,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1075,1,15,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,610.1,1,16,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,653,0,17,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,595.9,1,18,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,619,1,19,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,737.9,1,20,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1214.9,0,21,1,80,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,467.9,0,22,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,568.9,1,23,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,542,1,24,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,618.8,1,25,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,786,1,26,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,714.9,1,27,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,527.8,1,28,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,556.7,0,29,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,571.7,0,30,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,650.8,1,31,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,735.8,1,32,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,726.6,1,33,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,675.8,1,34,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,666.6,1,35,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,463.7,1,36,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,628.9,1,37,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,737.7,1,38,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,390.8,1,39,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,633.6,0,40,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,806.6,0,41,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,779.8,1,42,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,550.6,0,43,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,613.6,1,44,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1098.6,1,45,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,511.6,1,46,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,382.5,1,47,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,365.6,1,48,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,474.6,1,49,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,479.7,1,50,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,476.5,1,51,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,827.5,0,52,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,442.5,1,53,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,351.5,1,54,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,538.4,0,55,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,513.5,1,56,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,518.4,1,57,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,795.3,1,58,1,80,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,532.3,1,59,0,80,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,537.2,1,60,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,448.2,1,61,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,615.2,0,62,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,740.1,1,63,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,753.2,1,64,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,702.1,1,65,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,589.1,1,66,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,772.1,1,67,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1081.1,1,68,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,398,1,69,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,619.1,0,70,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,596.1,1,71,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,571.1,0,72,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,624.2,1,73,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,519,0,74,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,564.1,1,75,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,705,1,76,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,630.1,1,77,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,363,1,78,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,528,1,79,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,653.2,1,80,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,524.1,1,81,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,529,1,82,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,376,1,83,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,414.9,1,84,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,635.9,1,85,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,506.9,1,86,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,629.9,0,87,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,498.9,0,88,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,847.9,1,89,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,508.8,1,90,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,587.9,1,91,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,584.8,0,92,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,431.8,1,93,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,382.7,1,94,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,605.7,1,95,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,690.7,1,96,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,775.8,1,97,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,598.8,1,98,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,493.6,0,99,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,418.6,0,100,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,519.6,1,101,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,416.6,1,102,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,623.5,0,103,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,340.6,1,104,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,617.6,1,105,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,782.6,1,106,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,355.7,1,107,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,584.6,1,108,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,581.6,1,109,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,510.5,1,110,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,525.6,1,111,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,452.5,0,112,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,361.7,1,113,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,342.5,1,114,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,483.5,1,115,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,504.4,1,116,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,541.5,0,117,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,562.6,1,118,1,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,447.4,1,119,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,494.3,1,120,0,80,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,377.5,0,121,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,352.3,0,122,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,463.2,0,123,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,684.2,0,124,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,617.2,0,125,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,830.2,0,126,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,961.2,0,127,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,622.2,0,128,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,733.3,0,129,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,388.2,0,130,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,589.1,1,131,0,20,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,436.1,0,132,0,20,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,587.1,0,133,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,536.1,0,134,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,805.1,0,135,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,458.1,0,136,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,507,0,137,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,456,0,138,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,525,0,139,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,736.1,1,140,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,580.8,0,141,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,746,1,142,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,470.9,0,143,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,500,0,144,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,440.9,0,145,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,597.9,0,146,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,602.9,1,147,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,649.9,0,148,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,497,0,149,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,493.9,0,150,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,754.9,1,151,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,535.9,0,152,1,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,444.8,0,153,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
